
=== Statistics for Combined Statistics (Debug & Time Data) ===
q               | mean:   0.122717 | min:  -1.571451 | max:   1.571264 | var:   0.677164 | std:   0.822900 |
qdot            | mean:  -0.010496 | min:  -1.405875 | max:   1.004671 | var:   0.045780 | std:   0.213962 |
qddot           | mean:  -0.010496 | min:  -1.405875 | max:   1.004671 | var:   0.045780 | std:   0.213962 |
s               | mean:   0.005330 | min:  -0.000387 | max:   0.042817 | var:   0.000075 | std:   0.008673 |
vs              | mean:   0.008620 | min:  -0.013824 | max:   0.105008 | var:   0.000588 | std:   0.024257 |
dVs             | mean:   0.001892 | min:  -1.845847 | max:   0.938776 | var:   0.054332 | std:   0.233092 |
ee_vel          | mean:  -0.008428 | min:  -0.284844 | max:   0.063266 | var:   0.002244 | std:   0.047376 |
ee_speed        | mean:   0.050671 | min:   0.000000 | max:   0.337904 | var:   0.004379 | std:   0.066173 |
sel_min_dist    | mean:  23.446002 | min:  21.769820 | max:  26.069780 | var:   2.367449 | std:   1.538652 |
env_min_dist    | mean:   0.332420 | min:   0.036133 | max:   0.679688 | var:   0.026370 | std:   0.162389 |
mani            | mean:   0.078689 | min:   0.060112 | max:   0.089851 | var:   0.000101 | std:   0.010040 |
contour_error   | mean:   0.018602 | min:   0.000038 | max:   0.048750 | var:   0.000276 | std:   0.016612 |
spline_ee_pose  | mean:  -0.008888 | min:  -1.000000 | max:   1.000000 | var:   0.214503 | std:   0.463144 |
pred_ee_pose    | mean:   0.001815 | min:  -1.000000 | max:   1.000000 | var:   0.225448 | std:   0.474814 |
ref_ee_pose     | mean:   0.003717 | min:  -1.000000 | max:   1.000000 | var:   0.223692 | std:   0.472961 |
iter_count      | mean: 237.171717 | min: 100.000000 | max: 250.000000 | var: 1103.111927 | std:  33.213129 |
sqp_iter_count  | mean:   0.676768 | min:   0.000000 | max:   1.000000 | var:   0.218753 | std:   0.467711 |
total_iter_count | mean: 237.171717 | min: 100.000000 | max: 250.000000 | var: 1103.111927 | std:  33.213129 |
solve_count     | final value: 495
total           | mean:   0.102256 | min:   0.101048 | max:   0.130802 | var:   0.000002 | std:   0.001354 |
set_env         | mean:   0.098976 | min:   0.098405 | max:   0.104416 | var:   0.000000 | std:   0.000386 |
set_qp          | mean:   0.000370 | min:   0.000347 | max:   0.000670 | var:   0.000000 | std:   0.000019 |
init_solver     | mean:   0.000219 | min:   0.000208 | max:   0.000311 | var:   0.000000 | std:   0.000007 |
solve_qp        | mean:   0.001624 | min:   0.000698 | max:   0.026372 | var:   0.000001 | std:   0.001134 |
get_alpha       | mean:   0.000000 | min:   0.000000 | max:   0.000000 | var:   0.000000 | std:   0.000000 |
scaling_time    | mean:   0.000091 | min:   0.000085 | max:   0.000132 | var:   0.000000 | std:   0.000003 |
permutation_time | mean:   0.000042 | min:   0.000037 | max:   0.000071 | var:   0.000000 | std:   0.000004 |
factorization_time | mean:   0.000068 | min:   0.000066 | max:   0.000094 | var:   0.000000 | std:   0.000002 |
rho_updates     | mean:   0.315152 | min:   0.000000 | max:   2.000000 | var:   0.337043 | std:   0.580554 |

