
=== Statistics for Combined Statistics (Debug & Time Data) ===
q               | mean:   0.022738 | min:  -2.433403 | max:   1.599096 | var:   1.078326 | std:   1.038425 |
qdot            | mean:   0.000219 | min:  -1.425255 | max:   1.054943 | var:   0.044922 | std:   0.211949 |
qddot           | mean:   0.000219 | min:  -1.425255 | max:   1.054943 | var:   0.044922 | std:   0.211949 |
s               | mean:   0.378868 | min:  -0.000178 | max:   0.996519 | var:   0.114965 | std:   0.339065 |
vs              | mean:   0.042595 | min:  -0.012495 | max:   0.099647 | var:   0.001514 | std:   0.038906 |
dVs             | mean:   0.000953 | min:  -2.506794 | max:   1.457910 | var:   0.029618 | std:   0.172098 |
ee_vel          | mean:   0.000071 | min:  -0.270152 | max:   0.208409 | var:   0.004690 | std:   0.068484 |
ee_speed        | mean:   0.094996 | min:   0.000000 | max:   0.270167 | var:   0.005046 | std:   0.071035 |
sel_min_dist    | mean:  15.483393 | min:   1.506712 | max:  26.092370 | var:  66.717123 | std:   8.168055 |
env_min_dist    | mean:  36.810434 | min:   3.250000 | max:  74.500000 | var: 330.929736 | std:  18.191474 |
mani            | mean:   0.081069 | min:   0.060108 | max:   0.093879 | var:   0.000069 | std:   0.008283 |
contour_error   | mean:   0.005869 | min:   0.000013 | max:   0.046804 | var:   0.000123 | std:   0.011106 |
spline_ee_pose  | mean:  -0.008888 | min:  -1.000000 | max:   1.000000 | var:   0.214503 | std:   0.463144 |
pred_ee_pose    | mean:  -0.005648 | min:  -1.000000 | max:   1.000000 | var:   0.217728 | std:   0.466613 |
ref_ee_pose     | mean:  -0.004617 | min:  -1.000000 | max:   1.000000 | var:   0.217261 | std:   0.466112 |
iter_count      | mean: 183.490381 | min:  32.000000 | max: 256.000000 | var: 5572.501297 | std:  74.649188 |
sqp_iter_count  | mean:   1.120992 | min:   1.000000 | max:   4.000000 | var:   0.110628 | std:   0.332608 |
total           | mean:   0.132245 | min:   0.070462 | max:   0.189794 | var:   0.000753 | std:   0.027446 |
set_env         | mean:   0.127620 | min:   0.066884 | max:   0.182014 | var:   0.000724 | std:   0.026904 |
set_qp          | mean:   0.000509 | min:   0.000000 | max:   0.004575 | var:   0.000000 | std:   0.000308 |
solve_qp        | mean:   0.002115 | min:   0.000000 | max:   0.008771 | var:   0.000002 | std:   0.001327 |
get_alpha       | mean:   0.000267 | min:   0.000000 | max:   0.001911 | var:   0.000000 | std:   0.000173 |

