
=== Statistics for Combined Statistics (Debug & Time Data) ===
q               | mean:   0.025310 | min:  -2.433316 | max:   1.597807 | var:   1.074635 | std:   1.036646 |
qdot            | mean:   0.000214 | min:  -1.482665 | max:   1.109546 | var:   0.046812 | std:   0.216361 |
qddot           | mean:   0.000214 | min:  -1.482665 | max:   1.109546 | var:   0.046812 | std:   0.216361 |
s               | mean:   0.375964 | min:  -0.000524 | max:   0.996571 | var:   0.115849 | std:   0.340366 |
vs              | mean:   0.042541 | min:  -0.012762 | max:   0.099650 | var:   0.001566 | std:   0.039576 |
dVs             | mean:   0.000883 | min:  -1.747659 | max:   1.066204 | var:   0.040341 | std:   0.200852 |
ee_vel          | mean:   0.000069 | min:  -0.270123 | max:   0.207782 | var:   0.004761 | std:   0.069001 |
ee_speed        | mean:   0.095063 | min:   0.000000 | max:   0.270132 | var:   0.005246 | std:   0.072432 |
sel_min_dist    | mean:  15.553993 | min:   1.512965 | max:  25.954297 | var:  66.797842 | std:   8.172995 |
env_min_dist    | mean:   0.367887 | min:   0.033203 | max:   0.742188 | var:   0.032759 | std:   0.180994 |
mani            | mean:   0.081042 | min:   0.058984 | max:   0.093918 | var:   0.000073 | std:   0.008563 |
contour_error   | mean:   0.006256 | min:   0.000023 | max:   0.048100 | var:   0.000141 | std:   0.011895 |
spline_ee_pose  | mean:  -0.008888 | min:  -1.000000 | max:   1.000000 | var:   0.214503 | std:   0.463144 |
pred_ee_pose    | mean:  -0.005483 | min:  -1.000000 | max:   1.000000 | var:   0.217804 | std:   0.466695 |
ref_ee_pose     | mean:  -0.004360 | min:  -1.000000 | max:   1.000000 | var:   0.217291 | std:   0.466144 |
iter_count      | mean: 186.961161 | min:  50.000000 | max: 250.000000 | var: 4671.004467 | std:  68.344747 |
sqp_iter_count  | mean:   0.826718 | min:   0.000000 | max:   1.000000 | var:   0.143255 | std:   0.378491 |
total_iter_count | mean: 186.961161 | min:  50.000000 | max: 250.000000 | var: 4671.004467 | std:  68.344747 |
solve_count     | final value: 2343
is_collision    | mean:   0.121212 | min:   0.000000 | max:   1.000000 | var:   0.106520 | std:   0.326374 |
actual_min_dist | mean:   0.109250 | min:  -0.056546 | max:   0.422552 | var:   0.014823 | std:   0.121750 |
nn_min_dist     | mean:   0.153551 | min:   0.033203 | max:   0.464844 | var:   0.012644 | std:   0.112443 |
nn_error        | mean:   0.044696 | min:   0.000010 | max:   0.132820 | var:   0.000999 | std:   0.031612 |
total           | mean:   0.103935 | min:   0.102599 | max:   0.133163 | var:   0.000001 | std:   0.000807 |
set_env         | mean:   0.101019 | min:   0.100483 | max:   0.108480 | var:   0.000000 | std:   0.000285 |
set_qp          | mean:   0.000370 | min:   0.000343 | max:   0.000604 | var:   0.000000 | std:   0.000019 |
init_solver     | mean:   0.000219 | min:   0.000210 | max:   0.000255 | var:   0.000000 | std:   0.000005 |
solve_qp        | mean:   0.001280 | min:   0.000387 | max:   0.026659 | var:   0.000000 | std:   0.000672 |
get_alpha       | mean:   0.000000 | min:   0.000000 | max:   0.000000 | var:   0.000000 | std:   0.000000 |
scaling_time    | mean:   0.000092 | min:   0.000085 | max:   0.000118 | var:   0.000000 | std:   0.000002 |
permutation_time | mean:   0.000042 | min:   0.000037 | max:   0.000071 | var:   0.000000 | std:   0.000003 |
factorization_time | mean:   0.000068 | min:   0.000066 | max:   0.000086 | var:   0.000000 | std:   0.000001 |
rho_updates     | mean:   0.573197 | min:   0.000000 | max:   5.000000 | var:   0.377805 | std:   0.614658 |

