
=== Statistics for Combined Statistics (Debug & Time Data) ===
q               | mean:  -0.062194 | min:  -2.433007 | max:   1.589595 | var:   1.032188 | std:   1.015967 |
qdot            | mean:  -0.011705 | min:  -1.384528 | max:   1.061934 | var:   0.055233 | std:   0.235016 |
qddot           | mean:  -0.011705 | min:  -1.384528 | max:   1.061934 | var:   0.055233 | std:   0.235016 |
s               | mean:   0.393548 | min:  -0.000070 | max:   0.996406 | var:   0.120888 | std:   0.347689 |
vs              | mean:   0.042868 | min:  -0.037160 | max:   0.099598 | var:   0.001644 | std:   0.040543 |
dVs             | mean:   0.001025 | min:  -9.804922 | max:   7.077879 | var:   0.121794 | std:   0.348990 |
ee_vel          | mean:   0.000075 | min:  -0.271077 | max:   0.226109 | var:   0.005083 | std:   0.071296 |
ee_speed        | mean:   0.095458 | min:   0.001616 | max:   0.271079 | var:   0.006137 | std:   0.078340 |
sel_min_dist    | mean:  15.732234 | min:   1.756059 | max:  26.090098 | var:  61.417730 | std:   7.836946 |
env_min_dist    | mean:  34.851250 | min:   4.386341 | max:  67.401548 | var: 291.861790 | std:  17.083963 |
mani            | mean:   0.079641 | min:   0.060151 | max:   0.091218 | var:   0.000054 | std:   0.007319 |
contour_error   | mean:   0.006413 | min:   0.000038 | max:   0.046933 | var:   0.000134 | std:   0.011557 |
spline_ee_pose  | mean:  -0.008888 | min:  -1.000000 | max:   1.000000 | var:   0.214503 | std:   0.463144 |
pred_ee_pose    | mean:  -0.004893 | min:  -1.000000 | max:   1.000000 | var:   0.218056 | std:   0.466964 |
ref_ee_pose     | mean:  -0.003856 | min:  -1.000000 | max:   1.000000 | var:   0.217559 | std:   0.466432 |
iter_count      | mean: 161.580077 | min:  32.000000 | max: 256.000000 | var: 7063.499062 | std:  84.044625 |
total           | mean:   0.087239 | min:   0.009323 | max:   0.099921 | var:   0.000023 | std:   0.004837 |
set_env         | mean:   0.082026 | min:   0.005306 | max:   0.093647 | var:   0.000023 | std:   0.004763 |
set_qp          | mean:   0.000564 | min:   0.000000 | max:   0.004918 | var:   0.000000 | std:   0.000262 |
solve_qp        | mean:   0.002627 | min:   0.000000 | max:   0.012688 | var:   0.000002 | std:   0.001531 |
get_alpha       | mean:   0.000320 | min:   0.000000 | max:   0.002727 | var:   0.000000 | std:   0.000190 |

