
=== Statistics for Combined Statistics (Debug & Time Data) ===
q               | mean:  -0.034761 | min:  -2.433669 | max:   1.589458 | var:   0.999560 | std:   0.999780 |
qdot            | mean:   0.000219 | min:  -0.965422 | max:   0.999535 | var:   0.048184 | std:   0.219509 |
qddot           | mean:   0.000219 | min:  -0.965422 | max:   0.999535 | var:   0.048184 | std:   0.219509 |
s               | mean:   0.392235 | min:  -0.000030 | max:   0.996540 | var:   0.119464 | std:   0.345636 |
vs              | mean:   0.042299 | min:  -0.076121 | max:   0.099745 | var:   0.001595 | std:   0.039934 |
dVs             | mean:   0.001020 | min:  -7.867724 | max:   3.057184 | var:   0.122208 | std:   0.349582 |
ee_vel          | mean:   0.000082 | min:  -0.271014 | max:   0.217242 | var:   0.004905 | std:   0.070033 |
ee_speed        | mean:   0.095250 | min:   0.000000 | max:   0.271016 | var:   0.005641 | std:   0.075109 |
sel_min_dist    | mean:  15.324650 | min:   1.517826 | max:  25.946591 | var:  62.966084 | std:   7.935117 |
env_min_dist    | mean:  35.068413 | min:   3.250000 | max:  67.500000 | var: 293.300651 | std:  17.126023 |
mani            | mean:   0.077844 | min:   0.049392 | max:   0.091585 | var:   0.000077 | std:   0.008772 |
contour_error   | mean:   0.006220 | min:   0.000022 | max:   0.047933 | var:   0.000131 | std:   0.011449 |
spline_ee_pose  | mean:  -0.008888 | min:  -1.000000 | max:   1.000000 | var:   0.214503 | std:   0.463144 |
pred_ee_pose    | mean:  -0.004947 | min:  -1.000000 | max:   1.000000 | var:   0.217953 | std:   0.466854 |
ref_ee_pose     | mean:  -0.003879 | min:  -1.000000 | max:   1.000000 | var:   0.217471 | std:   0.466338 |
iter_count      | mean: 163.801443 | min:  32.000000 | max: 256.000000 | var: 6305.935967 | std:  79.409924 |
sqp_iter_count  | mean:   1.147645 | min:   1.000000 | max:   6.000000 | var:   0.178455 | std:   0.422440 |
total           | mean:   0.122043 | min:   0.068551 | max:   0.181387 | var:   0.000783 | std:   0.027979 |
set_env         | mean:   0.117793 | min:   0.065597 | max:   0.176031 | var:   0.000749 | std:   0.027366 |
set_qp          | mean:   0.000494 | min:   0.000000 | max:   0.008999 | var:   0.000000 | std:   0.000351 |
solve_qp        | mean:   0.001937 | min:   0.000000 | max:   0.013497 | var:   0.000002 | std:   0.001385 |
get_alpha       | mean:   0.000272 | min:   0.000000 | max:   0.001633 | var:   0.000000 | std:   0.000171 |

