
=== Statistics for Combined Statistics (Debug & Time Data) ===
q               | mean:  -0.035315 | min:  -2.433620 | max:   1.589540 | var:   1.000689 | std:   1.000345 |
qdot            | mean:   0.000219 | min:  -0.921970 | max:   0.940004 | var:   0.048713 | std:   0.220710 |
qddot           | mean:   0.000219 | min:  -0.921970 | max:   0.940004 | var:   0.048713 | std:   0.220710 |
s               | mean:   0.395070 | min:  -0.000082 | max:   0.996542 | var:   0.119948 | std:   0.346335 |
vs              | mean:   0.042315 | min:  -0.044597 | max:   0.099754 | var:   0.001602 | std:   0.040023 |
dVs             | mean:   0.000960 | min:  -7.002440 | max:   3.264542 | var:   0.113380 | std:   0.336720 |
ee_vel          | mean:   0.000081 | min:  -0.271033 | max:   0.220034 | var:   0.004943 | std:   0.070308 |
ee_speed        | mean:   0.094936 | min:   0.001669 | max:   0.271044 | var:   0.005817 | std:   0.076269 |
sel_min_dist    | mean:  15.350003 | min:   1.538540 | max:  25.962649 | var:  62.064159 | std:   7.878081 |
env_min_dist    | mean:  35.038065 | min:   3.265625 | max:  67.500000 | var: 294.099820 | std:  17.149339 |
mani            | mean:   0.077976 | min:   0.048955 | max:   0.091560 | var:   0.000077 | std:   0.008774 |
contour_error   | mean:   0.006106 | min:   0.000038 | max:   0.046092 | var:   0.000128 | std:   0.011335 |
spline_ee_pose  | mean:  -0.008888 | min:  -1.000000 | max:   1.000000 | var:   0.214503 | std:   0.463144 |
pred_ee_pose    | mean:  -0.004876 | min:  -1.000000 | max:   1.000000 | var:   0.217964 | std:   0.466866 |
ref_ee_pose     | mean:  -0.003882 | min:  -1.000000 | max:   1.000000 | var:   0.217496 | std:   0.466365 |
iter_count      | mean: 156.088285 | min:  32.000000 | max: 256.000000 | var: 5920.073700 | std:  76.942015 |
sqp_iter_count  | mean:   1.152377 | min:   1.000000 | max:   5.000000 | var:   0.173301 | std:   0.416294 |
total           | mean:   0.121775 | min:   0.068104 | max:   0.172324 | var:   0.000732 | std:   0.027058 |
set_env         | mean:   0.117598 | min:   0.065329 | max:   0.164242 | var:   0.000706 | std:   0.026565 |
set_qp          | mean:   0.000507 | min:   0.000000 | max:   0.004602 | var:   0.000000 | std:   0.000303 |
solve_qp        | mean:   0.001998 | min:   0.000000 | max:   0.013694 | var:   0.000002 | std:   0.001307 |
get_alpha       | mean:   0.000274 | min:   0.000000 | max:   0.002948 | var:   0.000000 | std:   0.000154 |

