
=== Build Options ===
  osqp_use_float:           True
  osqp_use_truncate:        True
  nn_use_truncate:          True
  constraints_use_truncate: True
  ffp_contract_off:         True


=== Statistics for Combined Statistics (Debug & Time Data) ===
q               | mean:  -0.106230 | min:  -2.432679 | max:   1.596806 | var:   1.141103 | std:   1.068224 |
qdot            | mean:   0.000328 | min:  -1.121321 | max:   1.024106 | var:   0.067016 | std:   0.258874 |
qddot           | mean:   0.000328 | min:  -1.121321 | max:   1.024106 | var:   0.067016 | std:   0.258874 |
s               | mean:   0.583503 | min:   0.000015 | max:   0.996585 | var:   0.078216 | std:   0.279671 |
vs              | mean:   0.064345 | min:   0.001682 | max:   0.099754 | var:   0.001519 | std:   0.038970 |
dVs             | mean:   0.001459 | min:  -0.535502 | max:   0.655965 | var:   0.006100 | std:   0.078105 |
ee_vel          | mean:   0.000097 | min:  -0.271113 | max:   0.236922 | var:   0.008295 | std:   0.091076 |
ee_speed        | mean:   0.133106 | min:   0.005613 | max:   0.271116 | var:   0.007168 | std:   0.084661 |
sel_min_dist    | mean:   0.118983 | min:   0.018488 | max:   0.225828 | var:   0.004133 | std:   0.064290 |
env_min_dist    | mean:   0.393095 | min:   0.075941 | max:   0.668595 | var:   0.024728 | std:   0.157252 |
mani            | mean:   0.078778 | min:   0.048770 | max:   0.094310 | var:   0.000090 | std:   0.009511 |
contour_error   | mean:   0.000951 | min:   0.000038 | max:   0.004958 | var:   0.000001 | std:   0.000780 |
spline_ee_pose  | mean:  -0.008888 | min:  -1.000000 | max:   1.000000 | var:   0.214503 | std:   0.463144 |
pred_ee_pose    | mean:  -0.005538 | min:  -1.000000 | max:   1.000000 | var:   0.214584 | std:   0.463232 |
ref_ee_pose     | mean:  -0.005846 | min:  -1.000000 | max:   1.000000 | var:   0.214580 | std:   0.463228 |
iter_count      | mean: 183.150420 | min:  50.000000 | max: 500.000000 | var: 18163.477051 | std: 134.771945 |
sqp_iter_count  | mean:   1.000000 | min:   1.000000 | max:   1.000000 | var:   0.000000 | std:   0.000000 |
total_iter_count | mean: 183.150420 | min:  50.000000 | max: 500.000000 | var: 18163.477051 | std: 134.771945 |
solve_count     | final value: 1549
max_iter_reached_count | final value: 0
max_iter_solve_failed_count | final value: 0
total           | mean:   0.080527 | min:   0.071767 | max:   0.372904 | var:   0.001379 | std:   0.037141 |
set_env         | mean:   0.065196 | min:   0.063414 | max:   0.084345 | var:   0.000008 | std:   0.002877 |
set_qp          | mean:   0.000367 | min:   0.000345 | max:   0.000669 | var:   0.000000 | std:   0.000018 |
init_solver     | mean:   0.005483 | min:   0.000384 | max:   0.258720 | var:   0.001264 | std:   0.035547 |
solve_qp        | mean:   0.002624 | min:   0.000795 | max:   0.027371 | var:   0.000003 | std:   0.001819 |
get_alpha       | mean:   0.000065 | min:   0.000060 | max:   0.000123 | var:   0.000000 | std:   0.000005 |
scaling_time    | mean:   0.004315 | min:   0.000086 | max:   0.215562 | var:   0.000874 | std:   0.029570 |
permutation_time | mean:   0.000036 | min:   0.000033 | max:   0.000281 | var:   0.000000 | std:   0.000008 |
factorization_time | mean:   0.000167 | min:   0.000161 | max:   0.000279 | var:   0.000000 | std:   0.000005 |
rho_updates     | mean:   0.728857 | min:   0.000000 | max:   3.000000 | var:   0.375804 | std:   0.613028 |

